Nazwa urzadzenia,Cena (zł),Ocena,Liczba ocen,Czy dostepny,Typ urzadzenia,Sklep,Data
Soundcore Liberty 4 NC,319.0,5.0,2.0,1,Słuchawki (dokanałowe),Komputronik,2024-09-29
Sony WHCH720 ANC,399.0,5.0,21.0,1,Słuchawki (nauszne),Komputronik,2024-09-29
Samsung Galaxy Tab A9 (X110) 128GB,799.0,5.0,5.0,0,Tablet,Komputronik,2024-09-29
"Huawei MatePad 11.5"" S 8/256GB + klwiatura + rysik",1999.0,5.0,2.0,1,Tablet,Komputronik,2024-09-29
"Apple iPad 10.2"" A13 (9.gen) 64GB",1599.0,5.0,7.0,1,Tablet,Komputronik,2024-09-29
Lenovo TAB P11 2 gen (TB350FU) 6/128GB,999.0,4.95,10.0,1,Tablet,Komputronik,2024-09-29
Lenovo Yoga Tab 13 (YT-K606F) 8/128GB,1499.0,,0.0,1,Tablet,Komputronik,2024-09-29
Xiaomi Redmi Pad Pro 8/256GB,1299.0,,0.0,1,Tablet,Komputronik,2024-09-29
"LG UltraFine 27UN880P-B - 27""",1599.0,5.0,1.0,1,Monitor,Komputronik,2024-09-29
"iiyama G-Master GB2470HSU-B5 Red Eagle - 23.8""",739.0,5.0,3.0,1,Monitor,Komputronik,2024-09-29
"iiyama G-Master GB2770QSU-B5 Red Eagle - 27""",1272.0,5.0,4.0,1,Monitor,Komputronik,2024-09-29
"Samsung Odyssey G30A LS27AG300NRXEN - 27""",645.0,4.85,20.0,1,Monitor,Komputronik,2024-09-29
"ASUS VY279HGE - 27""",749.0,5.0,4.0,1,Monitor,Komputronik,2024-09-29
"Xiaomi A27i - 27""",438.0,5.0,1.0,1,Monitor,Komputronik,2024-09-29
Samsung Galaxy Buds 3,599.0,,0.0,1,Słuchawki (douszne),Komputronik,2024-09-30
Apple AirPods 3 gen (Lightning Charging Case),779.0,5.0,1.0,1,Słuchawki (douszne),Komputronik,2024-09-30
Apple AirPods Pro 2 gen MagSafe,1099.0,4.86,7.0,1,Słuchawki (dokanałowe),Komputronik,2024-09-30
Apple AirPods 2 gen,509.0,5.0,15.0,1,Słuchawki (douszne),Komputronik,2024-09-30
JBL Tune 770 BT NC,293.0,5.0,4.0,1,Słuchawki (nauszne),Komputronik,2024-09-30
JBL Tune 520 BT,169.0,4.92,6.0,1,Słuchawki (nauszne),Komputronik,2024-09-30
Technics EAH-A800E-K,1199.0,,0.0,1,Słuchawki (nauszne),Komputronik,2024-09-30
Soundcore Liberty 4 NC,319.0,5.0,2.0,1,Słuchawki (dokanałowe),Komputronik,2024-09-30
Sony WHCH720 ANC,399.0,5.0,21.0,1,Słuchawki (nauszne),Komputronik,2024-09-30
Samsung Galaxy Tab A9 (X110) 128GB,799.0,5.0,5.0,1,Tablet,Komputronik,2024-09-30
"Huawei MatePad 11.5"" S 8/256GB + klwiatura + rysik",1999.0,5.0,2.0,1,Tablet,Komputronik,2024-09-30
"Apple iPad 10.2"" A13 (9.gen) 64GB",1599.0,5.0,7.0,1,Tablet,Komputronik,2024-09-30
Lenovo TAB P11 2 gen (TB350FU) 6/128GB,999.0,4.95,10.0,0,Tablet,Komputronik,2024-09-30
Lenovo Yoga Tab 13 (YT-K606F) 8/128GB,1499.0,,0.0,1,Tablet,Komputronik,2024-09-30
Xiaomi Redmi Pad Pro 8/256GB,1299.0,,0.0,1,Tablet,Komputronik,2024-09-30
"LG UltraFine 27UN880P-B - 27""",1599.0,5.0,1.0,1,Monitor,Komputronik,2024-09-30
"iiyama G-Master GB2470HSU-B5 Red Eagle - 23.8""",739.0,5.0,3.0,1,Monitor,Komputronik,2024-09-30
"iiyama G-Master GB2770QSU-B5 Red Eagle - 27""",1272.0,5.0,4.0,1,Monitor,Komputronik,2024-09-30
"Samsung Odyssey G30A LS27AG300NRXEN - 27""",645.0,4.85,20.0,1,Monitor,Komputronik,2024-09-30
"ASUS VY279HGE - 27""",749.0,5.0,4.0,1,Monitor,Komputronik,2024-09-30
"Xiaomi A27i - 27""",438.0,5.0,1.0,1,Monitor,Komputronik,2024-09-30
Samsung Galaxy Buds 3,599.0,,0.0,1,Słuchawki (douszne),Komputronik,2024-10-01
Apple AirPods 3 gen (Lightning Charging Case),779.0,5.0,1.0,1,Słuchawki (douszne),Komputronik,2024-10-01
Apple AirPods Pro 2 gen MagSafe,1099.0,4.86,7.0,1,Słuchawki (dokanałowe),Komputronik,2024-10-01
Apple AirPods 2 gen,509.0,5.0,15.0,1,Słuchawki (douszne),Komputronik,2024-10-01
JBL Tune 770 BT NC,289.0,5.0,4.0,1,Słuchawki (nauszne),Komputronik,2024-10-01
JBL Tune 520 BT,169.0,4.92,6.0,1,Słuchawki (nauszne),Komputronik,2024-10-01
Technics EAH-A800E-K,1199.0,,0.0,1,Słuchawki (nauszne),Komputronik,2024-10-01
Soundcore Liberty 4 NC,319.0,5.0,2.0,1,Słuchawki (dokanałowe),Komputronik,2024-10-01
Sony WHCH720 ANC,399.0,5.0,21.0,1,Słuchawki (nauszne),Komputronik,2024-10-01
Samsung Galaxy Tab A9 (X110) 128GB,799.0,5.0,6.0,1,Tablet,Komputronik,2024-10-01
"Huawei MatePad 11.5"" S 8/256GB + klwiatura + rysik",1999.0,5.0,2.0,1,Tablet,Komputronik,2024-10-01
"Apple iPad 10.2"" A13 (9.gen) 64GB",1599.0,5.0,7.0,1,Tablet,Komputronik,2024-10-01
Lenovo TAB P11 2 gen (TB350FU) 6/128GB,1099.0,4.95,10.0,0,Tablet,Komputronik,2024-10-01
Lenovo Yoga Tab 13 (YT-K606F) 8/128GB,1499.0,,0.0,1,Tablet,Komputronik,2024-10-01
Xiaomi Redmi Pad Pro 8/256GB,1299.0,,0.0,1,Tablet,Komputronik,2024-10-01
"LG UltraFine 27UN880P-B - 27""",1639.0,5.0,1.0,1,Monitor,Komputronik,2024-10-01
"iiyama G-Master GB2470HSU-B5 Red Eagle - 23.8""",739.0,5.0,3.0,1,Monitor,Komputronik,2024-10-01
"iiyama G-Master GB2770QSU-B5 Red Eagle - 27""",1272.0,5.0,4.0,1,Monitor,Komputronik,2024-10-01
"Samsung Odyssey G30A LS27AG300NRXEN - 27""",645.0,4.85,20.0,1,Monitor,Komputronik,2024-10-01
"ASUS VY279HGE - 27""",749.0,5.0,4.0,1,Monitor,Komputronik,2024-10-01
"Xiaomi A27i - 27""",438.0,5.0,1.0,1,Monitor,Komputronik,2024-10-01
Samsung Galaxy Buds 3,599.0,,0.0,1,Słuchawki (douszne),Komputronik,2024-10-02
Apple AirPods 3 gen (Lightning Charging Case),778.0,5.0,1.0,1,Słuchawki (douszne),Komputronik,2024-10-02
Apple AirPods Pro 2 gen MagSafe,1099.0,4.86,7.0,1,Słuchawki (dokanałowe),Komputronik,2024-10-02
Apple AirPods 2 gen,503.0,5.0,15.0,1,Słuchawki (douszne),Komputronik,2024-10-02
JBL Tune 770 BT NC,289.0,5.0,4.0,1,Słuchawki (nauszne),Komputronik,2024-10-02
JBL Tune 520 BT,169.0,4.92,6.0,1,Słuchawki (nauszne),Komputronik,2024-10-02
Technics EAH-A800E-K,1199.0,,0.0,1,Słuchawki (nauszne),Komputronik,2024-10-02
Soundcore Liberty 4 NC,319.0,5.0,2.0,1,Słuchawki (dokanałowe),Komputronik,2024-10-02
Sony WHCH720 ANC,399.0,5.0,21.0,1,Słuchawki (nauszne),Komputronik,2024-10-02
Samsung Galaxy Tab A9 (X110) 128GB,799.0,5.0,6.0,0,Tablet,Komputronik,2024-10-02
"Huawei MatePad 11.5"" S 8/256GB + klwiatura + rysik",2199.0,5.0,2.0,1,Tablet,Komputronik,2024-10-02
"Apple iPad 10.2"" A13 (9.gen) 64GB",1649.0,5.0,7.0,1,Tablet,Komputronik,2024-10-02
Lenovo TAB P11 2 gen (TB350FU) 6/128GB,1099.0,4.95,10.0,0,Tablet,Komputronik,2024-10-02
Lenovo Yoga Tab 13 (YT-K606F) 8/128GB,1599.0,,0.0,1,Tablet,Komputronik,2024-10-02
Xiaomi Redmi Pad Pro 8/256GB,1299.0,,0.0,1,Tablet,Komputronik,2024-10-02
"LG UltraFine 27UN880P-B - 27""",1629.0,5.0,1.0,1,Monitor,Komputronik,2024-10-02
"iiyama G-Master GB2470HSU-B5 Red Eagle - 23.8""",739.0,5.0,3.0,1,Monitor,Komputronik,2024-10-02
"iiyama G-Master GB2770QSU-B5 Red Eagle - 27""",1272.0,5.0,4.0,1,Monitor,Komputronik,2024-10-02
"Samsung Odyssey G30A LS27AG300NRXEN - 27""",645.0,4.85,20.0,1,Monitor,Komputronik,2024-10-02
"ASUS VY279HGE - 27""",749.0,5.0,4.0,1,Monitor,Komputronik,2024-10-02
"Xiaomi A27i - 27""",438.0,5.0,1.0,1,Monitor,Komputronik,2024-10-02
Samsung Galaxy Buds 3,599.0,,0.0,1,Słuchawki (douszne),Komputronik,2024-10-03
Apple AirPods 3 gen (Lightning Charging Case),778.0,5.0,1.0,1,Słuchawki (douszne),Komputronik,2024-10-03
Apple AirPods Pro 2 gen MagSafe,1099.0,4.86,7.0,1,Słuchawki (dokanałowe),Komputronik,2024-10-03
Apple AirPods 2 gen,501.0,5.0,15.0,1,Słuchawki (douszne),Komputronik,2024-10-03
JBL Tune 770 BT NC,283.0,5.0,4.0,1,Słuchawki (nauszne),Komputronik,2024-10-03
JBL Tune 520 BT,169.0,4.92,6.0,1,Słuchawki (nauszne),Komputronik,2024-10-03
Technics EAH-A800E-K,1199.0,,0.0,1,Słuchawki (nauszne),Komputronik,2024-10-03
Soundcore Liberty 4 NC,399.0,5.0,2.0,1,Słuchawki (dokanałowe),Komputronik,2024-10-03
Sony WHCH720 ANC,399.0,5.0,21.0,1,Słuchawki (nauszne),Komputronik,2024-10-03
Samsung Galaxy Tab A9 (X110) 128GB,799.0,5.0,6.0,0,Tablet,Komputronik,2024-10-03
"Huawei MatePad 11.5"" S 8/256GB + klwiatura + rysik",2199.0,5.0,2.0,1,Tablet,Komputronik,2024-10-03
"Apple iPad 10.2"" A13 (9.gen) 64GB",1599.0,5.0,7.0,1,Tablet,Komputronik,2024-10-03
Lenovo TAB P11 2 gen (TB350FU) 6/128GB,1099.0,4.95,10.0,0,Tablet,Komputronik,2024-10-03
Lenovo Yoga Tab 13 (YT-K606F) 8/128GB,1499.0,,0.0,1,Tablet,Komputronik,2024-10-03
Xiaomi Redmi Pad Pro 8/256GB,1299.0,,0.0,1,Tablet,Komputronik,2024-10-03
"LG UltraFine 27UN880P-B - 27""",1649.0,5.0,1.0,1,Monitor,Komputronik,2024-10-03
"iiyama G-Master GB2470HSU-B5 Red Eagle - 23.8""",739.0,5.0,3.0,1,Monitor,Komputronik,2024-10-03
"iiyama G-Master GB2770QSU-B5 Red Eagle - 27""",1272.0,5.0,4.0,1,Monitor,Komputronik,2024-10-03
"Samsung Odyssey G30A LS27AG300NRXEN - 27""",645.0,4.85,20.0,1,Monitor,Komputronik,2024-10-03
"ASUS VY279HGE - 27""",749.0,5.0,4.0,1,Monitor,Komputronik,2024-10-03
"Xiaomi A27i - 27""",438.0,5.0,1.0,1,Monitor,Komputronik,2024-10-03
Samsung Galaxy Buds 3,599.0,,0.0,1,Słuchawki (douszne),Komputronik,2024-10-04
Apple AirPods 3 gen (Lightning Charging Case),778.0,5.0,1.0,1,Słuchawki (douszne),Komputronik,2024-10-04
Apple AirPods Pro 2 gen MagSafe,1099.0,4.86,7.0,1,Słuchawki (dokanałowe),Komputronik,2024-10-04
Apple AirPods 2 gen,501.0,5.0,15.0,1,Słuchawki (douszne),Komputronik,2024-10-04
JBL Tune 770 BT NC,289.0,5.0,4.0,1,Słuchawki (nauszne),Komputronik,2024-10-04
JBL Tune 520 BT,169.0,4.92,6.0,1,Słuchawki (nauszne),Komputronik,2024-10-04
Technics EAH-A800E-K,1199.0,,0.0,1,Słuchawki (nauszne),Komputronik,2024-10-04
Soundcore Liberty 4 NC,399.0,5.0,2.0,1,Słuchawki (dokanałowe),Komputronik,2024-10-04
Sony WHCH720 ANC,399.0,5.0,21.0,1,Słuchawki (nauszne),Komputronik,2024-10-04
Samsung Galaxy Tab A9 (X110) 128GB,799.0,5.0,6.0,1,Tablet,Komputronik,2024-10-04
"Huawei MatePad 11.5"" S 8/256GB + klwiatura + rysik",2199.0,5.0,2.0,1,Tablet,Komputronik,2024-10-04
"Apple iPad 10.2"" A13 (9.gen) 64GB",1599.0,5.0,7.0,1,Tablet,Komputronik,2024-10-04
Lenovo TAB P11 2 gen (TB350FU) 6/128GB,1099.0,4.95,10.0,0,Tablet,Komputronik,2024-10-04
Lenovo Yoga Tab 13 (YT-K606F) 8/128GB,1499.0,,0.0,1,Tablet,Komputronik,2024-10-04
Xiaomi Redmi Pad Pro 8/256GB,1599.0,,0.0,0,Tablet,Komputronik,2024-10-04
