Nazwa urzadzenia,Cena (zł),Ocena,Liczba ocen,Czy dostepny,Typ urzadzenia,Sklep,Data
"Tablet Samsung Galaxy Tab A9 SM-X110 8.7"" 8/128GB Wi-Fi Szary",799.00,,0,1,Tablet,OleOle!,2024-09-24
"Tablet Huawei MatePad 11.5"" S 8/256GB Wi-Fi Space Gray + Klawiatura Czarny + Rysik M-Pencil (3 gen.)",1999.00,,0,1,Tablet,OleOle!,2024-09-24
"Tablet Apple iPad 2021 10.2"" 64GB Wi-Fi Gwiezdna Szarość",1649.00,5.0,12,1,Tablet,OleOle!,2024-09-24
"Tablet Lenovo Tab P11 (2nd Gen) TB350FU 11.5"" 6/128GB Wi-Fi Storm Grey + Rysik Precision Pen 2",1049.00,5.0,6,1,Tablet,OleOle!,2024-09-24
"Tablet Lenovo Yoga Tab 13 YT-K606F 13"" 8/128GB Wi-Fi",1799.00,5.0,4,1,Tablet,OleOle!,2024-09-24
"Tablet Xiaomi Redmi Pad Pro 12.1"" 8/256GB Wi-Fi Graphite gray",1369.00,,0,1,Tablet,OleOle!,2024-09-24
"Monitor LG UltraFine Display Ergo 27UN880P-B- 27"" 4K IPS 60Hz 5ms",,,0,0,Monitor,OleOle!,2024-09-24
"Monitor iiyama G-Master Red Eagle GB2470HSU-B5 24"" Full HD IPS 165Hz 0.8ms Gamingowy",739.00,4.0,1,1,Monitor,OleOle!,2024-09-24
"Monitor iiyama G-Master Red Eagle GB2770QSU-B5 27"" 2K IPS 165Hz 0.5ms Gamingowy",1299.00,,0,1,Monitor,OleOle!,2024-09-24
"Monitor Samsung Odyssey G3 S27AG300NR 27"" Full HD VA 144Hz 1ms",819.00,,0,1,Monitor,OleOle!,2024-09-24
"Monitor ASUS VY279HGE 27"" Full HD IPS 144Hz 1ms Gamingowy",719.00,,0,1,Monitor,OleOle!,2024-09-24
"Monitor Xiaomi A27i (P27FBA-RAGL) 27"" Full HD IPS 100Hz 6ms",438.00,,0,1,Monitor,OleOle!,2024-09-24
Słuchawki bezprzewodowe Samsung Galaxy Buds 3 SM-R530NZA Douszne Bluetooth Srebrny,749.00,,0,1,Słuchawki (douszne),OleOle!,2024-09-25
Słuchawki bezprzewodowe Apple AirPods 3. generacji z etui ładującym Lightning Douszne Bluetooth 5.0 Biały,729.00,4.7,7,1,Słuchawki (douszne),OleOle!,2024-09-25
Słuchawki bezprzewodowe Apple AirPods Pro 2 generacji z etui MagSafe USB/C Dokanałowe Bluetooth 5.3 Biały,1099.00,5.0,9,1,Słuchawki (dokanałowe),OleOle!,2024-09-25
Słuchawki bezprzewodowe Apple AirPods 2. generacji z etui ładującym Douszne Biały,519.00,4.9,53,1,Słuchawki (douszne),OleOle!,2024-09-25
Słuchawki bezprzewodowe JBL Tune 770NC Nauszne Bluetooth 5.3 Czarny,,5.0,2,0,Słuchawki (nauszne),OleOle!,2024-09-25
Słuchawki bezprzewodowe JBL Tune 520 BT Nauszne Bluetooth 5.3 Czarny,149.05,4.9,18,1,Słuchawki (nauszne),OleOle!,2024-09-25
Słuchawki bezprzewodowe Technics EAH-A800E-K Nauszne Bluetooth 5.2 Czarny,,,0,0,Słuchawki (nauszne),OleOle!,2024-09-25
Słuchawki bezprzewodowe Soundcore Liberty 4 NC Dokanałowe Bluetooth 5.3 Czarny,299.00,5.0,2,1,Słuchawki (dokanałowe),OleOle!,2024-09-25
Słuchawki bezprzewodowe Sony WH-CH720N ANC Nauszne Bluetooth 5.2 Czarny,399.00,5.0,6,1,Słuchawki (nauszne),OleOle!,2024-09-25
"Tablet Samsung Galaxy Tab A9 SM-X110 8.7"" 8/128GB Wi-Fi Szary",799.00,,0,1,Tablet,OleOle!,2024-09-25
"Tablet Huawei MatePad 11.5"" S 8/256GB Wi-Fi Space Gray + Klawiatura Czarny + Rysik M-Pencil (3 gen.)",1999.00,,0,1,Tablet,OleOle!,2024-09-25
"Tablet Apple iPad 2021 10.2"" 64GB Wi-Fi Gwiezdna Szarość",1649.00,5.0,12,1,Tablet,OleOle!,2024-09-25
"Tablet Lenovo Tab P11 (2nd Gen) TB350FU 11.5"" 6/128GB Wi-Fi Storm Grey + Rysik Precision Pen 2",1049.00,5.0,6,1,Tablet,OleOle!,2024-09-25
"Tablet Lenovo Yoga Tab 13 YT-K606F 13"" 8/128GB Wi-Fi",1799.00,5.0,4,1,Tablet,OleOle!,2024-09-25
"Tablet Xiaomi Redmi Pad Pro 12.1"" 8/256GB Wi-Fi Graphite gray",1369.00,,0,1,Tablet,OleOle!,2024-09-25
"Monitor LG UltraFine Display Ergo 27UN880P-B- 27"" 4K IPS 60Hz 5ms",,,0,0,Monitor,OleOle!,2024-09-25
"Monitor iiyama G-Master Red Eagle GB2470HSU-B5 24"" Full HD IPS 165Hz 0.8ms Gamingowy",739.00,4.0,1,1,Monitor,OleOle!,2024-09-25
"Monitor iiyama G-Master Red Eagle GB2770QSU-B5 27"" 2K IPS 165Hz 0.5ms Gamingowy",1299.00,,0,1,Monitor,OleOle!,2024-09-25
"Monitor Samsung Odyssey G3 S27AG300NR 27"" Full HD VA 144Hz 1ms",819.00,,0,1,Monitor,OleOle!,2024-09-25
"Monitor ASUS VY279HGE 27"" Full HD IPS 144Hz 1ms Gamingowy",719.00,,0,1,Monitor,OleOle!,2024-09-25
"Monitor Xiaomi A27i (P27FBA-RAGL) 27"" Full HD IPS 100Hz 6ms",438.00,,0,1,Monitor,OleOle!,2024-09-25
Słuchawki bezprzewodowe Samsung Galaxy Buds 3 SM-R530NZA Douszne Bluetooth Srebrny,749.00,,0,1,Słuchawki (douszne),OleOle!,2024-09-26
Słuchawki bezprzewodowe Apple AirPods 3. generacji z etui ładującym Lightning Douszne Bluetooth 5.0 Biały,729.00,4.7,7,1,Słuchawki (douszne),OleOle!,2024-09-26
Słuchawki bezprzewodowe Apple AirPods Pro 2 generacji z etui MagSafe USB/C Dokanałowe Bluetooth 5.3 Biały,1099.00,5.0,9,1,Słuchawki (dokanałowe),OleOle!,2024-09-26
Słuchawki bezprzewodowe Apple AirPods 2. generacji z etui ładującym Douszne Biały,519.00,4.9,53,1,Słuchawki (douszne),OleOle!,2024-09-26
Słuchawki bezprzewodowe JBL Tune 770NC Nauszne Bluetooth 5.3 Czarny,,5.0,2,0,Słuchawki (nauszne),OleOle!,2024-09-26
Słuchawki bezprzewodowe JBL Tune 520 BT Nauszne Bluetooth 5.3 Czarny,149.05,4.9,18,1,Słuchawki (nauszne),OleOle!,2024-09-26
Słuchawki bezprzewodowe Technics EAH-A800E-K Nauszne Bluetooth 5.2 Czarny,,,0,0,Słuchawki (nauszne),OleOle!,2024-09-26
Słuchawki bezprzewodowe Soundcore Liberty 4 NC Dokanałowe Bluetooth 5.3 Czarny,299.00,5.0,2,1,Słuchawki (dokanałowe),OleOle!,2024-09-26
Słuchawki bezprzewodowe Sony WH-CH720N ANC Nauszne Bluetooth 5.2 Czarny,399.00,5.0,6,1,Słuchawki (nauszne),OleOle!,2024-09-26
"Tablet Samsung Galaxy Tab A9 SM-X110 8.7"" 8/128GB Wi-Fi Szary",799.00,,0,1,Tablet,OleOle!,2024-09-26
"Tablet Huawei MatePad 11.5"" S 8/256GB Wi-Fi Space Gray + Klawiatura Czarny + Rysik M-Pencil (3 gen.)",1999.00,,0,1,Tablet,OleOle!,2024-09-26
"Tablet Apple iPad 2021 10.2"" 64GB Wi-Fi Gwiezdna Szarość",1649.00,5.0,12,1,Tablet,OleOle!,2024-09-26
"Tablet Lenovo Tab P11 (2nd Gen) TB350FU 11.5"" 6/128GB Wi-Fi Storm Grey + Rysik Precision Pen 2",999.00,5.0,6,1,Tablet,OleOle!,2024-09-26
"Tablet Lenovo Yoga Tab 13 YT-K606F 13"" 8/128GB Wi-Fi",1499.00,5.0,4,1,Tablet,OleOle!,2024-09-26
"Tablet Xiaomi Redmi Pad Pro 12.1"" 8/256GB Wi-Fi Graphite gray",1369.00,,0,1,Tablet,OleOle!,2024-09-26
"Monitor LG UltraFine Display Ergo 27UN880P-B- 27"" 4K IPS 60Hz 5ms",,,0,0,Monitor,OleOle!,2024-09-26
"Monitor iiyama G-Master Red Eagle GB2470HSU-B5 24"" Full HD IPS 165Hz 0.8ms Gamingowy",739.00,4.0,1,1,Monitor,OleOle!,2024-09-26
"Monitor iiyama G-Master Red Eagle GB2770QSU-B5 27"" 2K IPS 165Hz 0.5ms Gamingowy",1299.00,,0,1,Monitor,OleOle!,2024-09-26
"Monitor Samsung Odyssey G3 S27AG300NR 27"" Full HD VA 144Hz 1ms",819.00,,0,1,Monitor,OleOle!,2024-09-26
"Monitor ASUS VY279HGE 27"" Full HD IPS 144Hz 1ms Gamingowy",719.00,,0,1,Monitor,OleOle!,2024-09-26
"Monitor Xiaomi A27i (P27FBA-RAGL) 27"" Full HD IPS 100Hz 6ms",438.00,,0,1,Monitor,OleOle!,2024-09-26
Słuchawki bezprzewodowe Samsung Galaxy Buds 3 SM-R530NZA Douszne Bluetooth Srebrny,749.00,,0,1,Słuchawki (douszne),OleOle!,2024-09-27
Słuchawki bezprzewodowe Apple AirPods 3. generacji z etui ładującym Lightning Douszne Bluetooth 5.0 Biały,729.00,4.7,7,1,Słuchawki (douszne),OleOle!,2024-09-27
Słuchawki bezprzewodowe Apple AirPods Pro 2 generacji z etui MagSafe USB/C Dokanałowe Bluetooth 5.3 Biały,1099.00,5.0,9,1,Słuchawki (dokanałowe),OleOle!,2024-09-27
Słuchawki bezprzewodowe Apple AirPods 2. generacji z etui ładującym Douszne Biały,519.00,4.9,53,1,Słuchawki (douszne),OleOle!,2024-09-27
Słuchawki bezprzewodowe JBL Tune 770NC Nauszne Bluetooth 5.3 Czarny,,5.0,2,0,Słuchawki (nauszne),OleOle!,2024-09-27
Słuchawki bezprzewodowe JBL Tune 520 BT Nauszne Bluetooth 5.3 Czarny,149.05,4.9,19,1,Słuchawki (nauszne),OleOle!,2024-09-27
Słuchawki bezprzewodowe Technics EAH-A800E-K Nauszne Bluetooth 5.2 Czarny,,,0,0,Słuchawki (nauszne),OleOle!,2024-09-27
Słuchawki bezprzewodowe Soundcore Liberty 4 NC Dokanałowe Bluetooth 5.3 Czarny,299.00,5.0,2,1,Słuchawki (dokanałowe),OleOle!,2024-09-27
Słuchawki bezprzewodowe Sony WH-CH720N ANC Nauszne Bluetooth 5.2 Czarny,349.89,5.0,6,1,Słuchawki (nauszne),OleOle!,2024-09-27
"Tablet Samsung Galaxy Tab A9 SM-X110 8.7"" 8/128GB Wi-Fi Szary",799.00,,0,1,Tablet,OleOle!,2024-09-27
"Tablet Huawei MatePad 11.5"" S 8/256GB Wi-Fi Space Gray + Klawiatura Czarny + Rysik M-Pencil (3 gen.)",1999.00,,0,1,Tablet,OleOle!,2024-09-27
"Tablet Apple iPad 2021 10.2"" 64GB Wi-Fi Gwiezdna Szarość",1649.00,5.0,12,1,Tablet,OleOle!,2024-09-27
"Tablet Lenovo Tab P11 (2nd Gen) TB350FU 11.5"" 6/128GB Wi-Fi Storm Grey + Rysik Precision Pen 2",999.00,5.0,6,1,Tablet,OleOle!,2024-09-27
"Tablet Lenovo Yoga Tab 13 YT-K606F 13"" 8/128GB Wi-Fi",1499.00,5.0,4,1,Tablet,OleOle!,2024-09-27
"Tablet Xiaomi Redmi Pad Pro 12.1"" 8/256GB Wi-Fi Graphite gray",1369.00,,0,1,Tablet,OleOle!,2024-09-27
"Monitor LG UltraFine Display Ergo 27UN880P-B- 27"" 4K IPS 60Hz 5ms",,,0,0,Monitor,OleOle!,2024-09-27
"Monitor iiyama G-Master Red Eagle GB2470HSU-B5 24"" Full HD IPS 165Hz 0.8ms Gamingowy",739.00,4.0,1,1,Monitor,OleOle!,2024-09-27
"Monitor iiyama G-Master Red Eagle GB2770QSU-B5 27"" 2K IPS 165Hz 0.5ms Gamingowy",1349.00,,0,1,Monitor,OleOle!,2024-09-27
"Monitor Samsung Odyssey G3 S27AG300NR 27"" Full HD VA 144Hz 1ms",819.00,,0,1,Monitor,OleOle!,2024-09-27
"Monitor ASUS VY279HGE 27"" Full HD IPS 144Hz 1ms Gamingowy",719.00,,0,1,Monitor,OleOle!,2024-09-27
"Monitor Xiaomi A27i (P27FBA-RAGL) 27"" Full HD IPS 100Hz 6ms",438.00,,0,1,Monitor,OleOle!,2024-09-27
Słuchawki bezprzewodowe Samsung Galaxy Buds 3 SM-R530NZA Douszne Bluetooth Srebrny,749.00,,0,1,Słuchawki (douszne),OleOle!,2024-09-28
Słuchawki bezprzewodowe Apple AirPods 3. generacji z etui ładującym Lightning Douszne Bluetooth 5.0 Biały,729.00,4.7,7,1,Słuchawki (douszne),OleOle!,2024-09-28
Słuchawki bezprzewodowe Apple AirPods Pro 2 generacji z etui MagSafe USB/C Dokanałowe Bluetooth 5.3 Biały,1099.00,5.0,9,1,Słuchawki (dokanałowe),OleOle!,2024-09-28
Słuchawki bezprzewodowe Apple AirPods 2. generacji z etui ładującym Douszne Biały,519.00,4.9,53,1,Słuchawki (douszne),OleOle!,2024-09-28
Słuchawki bezprzewodowe JBL Tune 770NC Nauszne Bluetooth 5.3 Czarny,,5.0,2,0,Słuchawki (nauszne),OleOle!,2024-09-28
Słuchawki bezprzewodowe JBL Tune 520 BT Nauszne Bluetooth 5.3 Czarny,149.05,4.9,19,1,Słuchawki (nauszne),OleOle!,2024-09-28
Słuchawki bezprzewodowe Technics EAH-A800E-K Nauszne Bluetooth 5.2 Czarny,,,0,0,Słuchawki (nauszne),OleOle!,2024-09-28
Słuchawki bezprzewodowe Soundcore Liberty 4 NC Dokanałowe Bluetooth 5.3 Czarny,299.00,5.0,2,1,Słuchawki (dokanałowe),OleOle!,2024-09-28
Słuchawki bezprzewodowe Sony WH-CH720N ANC Nauszne Bluetooth 5.2 Czarny,399.00,5.0,6,1,Słuchawki (nauszne),OleOle!,2024-09-28
"Tablet Samsung Galaxy Tab A9 SM-X110 8.7"" 8/128GB Wi-Fi Szary",799.00,,0,1,Tablet,OleOle!,2024-09-28
"Tablet Huawei MatePad 11.5"" S 8/256GB Wi-Fi Space Gray + Klawiatura Czarny + Rysik M-Pencil (3 gen.)",1999.00,,0,1,Tablet,OleOle!,2024-09-28
"Tablet Apple iPad 2021 10.2"" 64GB Wi-Fi Gwiezdna Szarość",1649.00,5.0,12,1,Tablet,OleOle!,2024-09-28
"Tablet Lenovo Tab P11 (2nd Gen) TB350FU 11.5"" 6/128GB Wi-Fi Storm Grey + Rysik Precision Pen 2",999.00,5.0,6,1,Tablet,OleOle!,2024-09-28
"Tablet Lenovo Yoga Tab 13 YT-K606F 13"" 8/128GB Wi-Fi",1499.00,5.0,4,1,Tablet,OleOle!,2024-09-28
"Tablet Xiaomi Redmi Pad Pro 12.1"" 8/256GB Wi-Fi Graphite gray",1369.00,,0,1,Tablet,OleOle!,2024-09-28
"Monitor LG UltraFine Display Ergo 27UN880P-B- 27"" 4K IPS 60Hz 5ms",,,0,0,Monitor,OleOle!,2024-09-28
"Monitor iiyama G-Master Red Eagle GB2470HSU-B5 24"" Full HD IPS 165Hz 0.8ms Gamingowy",739.00,4.0,1,1,Monitor,OleOle!,2024-09-28
"Monitor iiyama G-Master Red Eagle GB2770QSU-B5 27"" 2K IPS 165Hz 0.5ms Gamingowy",1349.00,,0,1,Monitor,OleOle!,2024-09-28
"Monitor Samsung Odyssey G3 S27AG300NR 27"" Full HD VA 144Hz 1ms",819.00,,0,1,Monitor,OleOle!,2024-09-28
"Monitor ASUS VY279HGE 27"" Full HD IPS 144Hz 1ms Gamingowy",719.00,,0,1,Monitor,OleOle!,2024-09-28
"Monitor Xiaomi A27i (P27FBA-RAGL) 27"" Full HD IPS 100Hz 6ms",438.00,,0,1,Monitor,OleOle!,2024-09-28
Słuchawki bezprzewodowe Samsung Galaxy Buds 3 SM-R530NZA Douszne Bluetooth Srebrny,749.00,,0,1,Słuchawki (douszne),OleOle!,2024-09-29
Słuchawki bezprzewodowe Apple AirPods 3. generacji z etui ładującym Lightning Douszne Bluetooth 5.0 Biały,729.00,4.7,7,1,Słuchawki (douszne),OleOle!,2024-09-29
Słuchawki bezprzewodowe Apple AirPods Pro 2 generacji z etui MagSafe USB/C Dokanałowe Bluetooth 5.3 Biały,1099.00,5.0,9,1,Słuchawki (dokanałowe),OleOle!,2024-09-29
Słuchawki bezprzewodowe Apple AirPods 2. generacji z etui ładującym Douszne Biały,519.00,4.9,53,1,Słuchawki (douszne),OleOle!,2024-09-29
Słuchawki bezprzewodowe JBL Tune 770NC Nauszne Bluetooth 5.3 Czarny,,5.0,2,0,Słuchawki (nauszne),OleOle!,2024-09-29
Słuchawki bezprzewodowe JBL Tune 520 BT Nauszne Bluetooth 5.3 Czarny,149.05,4.9,19,1,Słuchawki (nauszne),OleOle!,2024-09-29
Słuchawki bezprzewodowe Technics EAH-A800E-K Nauszne Bluetooth 5.2 Czarny,,,0,0,Słuchawki (nauszne),OleOle!,2024-09-29
Słuchawki bezprzewodowe Soundcore Liberty 4 NC Dokanałowe Bluetooth 5.3 Czarny,299.00,5.0,2,1,Słuchawki (dokanałowe),OleOle!,2024-09-29
Słuchawki bezprzewodowe Sony WH-CH720N ANC Nauszne Bluetooth 5.2 Czarny,399.00,5.0,6,1,Słuchawki (nauszne),OleOle!,2024-09-29
"Tablet Samsung Galaxy Tab A9 SM-X110 8.7"" 8/128GB Wi-Fi Szary",799.00,,0,1,Tablet,OleOle!,2024-09-29
"Tablet Huawei MatePad 11.5"" S 8/256GB Wi-Fi Space Gray + Klawiatura Czarny + Rysik M-Pencil (3 gen.)",1999.00,,0,1,Tablet,OleOle!,2024-09-29
"Tablet Apple iPad 2021 10.2"" 64GB Wi-Fi Gwiezdna Szarość",1649.00,5.0,12,1,Tablet,OleOle!,2024-09-29
"Tablet Lenovo Tab P11 (2nd Gen) TB350FU 11.5"" 6/128GB Wi-Fi Storm Grey + Rysik Precision Pen 2",999.00,5.0,6,1,Tablet,OleOle!,2024-09-29
"Tablet Lenovo Yoga Tab 13 YT-K606F 13"" 8/128GB Wi-Fi",1499.00,5.0,4,1,Tablet,OleOle!,2024-09-29
"Tablet Xiaomi Redmi Pad Pro 12.1"" 8/256GB Wi-Fi Graphite gray",1369.00,,0,1,Tablet,OleOle!,2024-09-29
"Monitor LG UltraFine Display Ergo 27UN880P-B- 27"" 4K IPS 60Hz 5ms",,,0,0,Monitor,OleOle!,2024-09-29
"Monitor iiyama G-Master Red Eagle GB2470HSU-B5 24"" Full HD IPS 165Hz 0.8ms Gamingowy",739.00,4.0,1,1,Monitor,OleOle!,2024-09-29
"Monitor iiyama G-Master Red Eagle GB2770QSU-B5 27"" 2K IPS 165Hz 0.5ms Gamingowy",1349.00,,0,1,Monitor,OleOle!,2024-09-29
"Monitor Samsung Odyssey G3 S27AG300NR 27"" Full HD VA 144Hz 1ms",819.00,,0,1,Monitor,OleOle!,2024-09-29
"Monitor ASUS VY279HGE 27"" Full HD IPS 144Hz 1ms Gamingowy",719.00,,0,1,Monitor,OleOle!,2024-09-29
"Monitor Xiaomi A27i (P27FBA-RAGL) 27"" Full HD IPS 100Hz 6ms",438.00,,0,1,Monitor,OleOle!,2024-09-29
Słuchawki bezprzewodowe Samsung Galaxy Buds 3 SM-R530NZA Douszne Bluetooth Srebrny,749.00,,0,1,Słuchawki (douszne),OleOle!,2024-09-30
Słuchawki bezprzewodowe Apple AirPods 3. generacji z etui ładującym Lightning Douszne Bluetooth 5.0 Biały,729.00,4.7,7,1,Słuchawki (douszne),OleOle!,2024-09-30
Słuchawki bezprzewodowe Apple AirPods Pro 2 generacji z etui MagSafe USB/C Dokanałowe Bluetooth 5.3 Biały,1099.00,5.0,9,1,Słuchawki (dokanałowe),OleOle!,2024-09-30
Słuchawki bezprzewodowe Apple AirPods 2. generacji z etui ładującym Douszne Biały,519.00,4.9,53,1,Słuchawki (douszne),OleOle!,2024-09-30
Słuchawki bezprzewodowe JBL Tune 770NC Nauszne Bluetooth 5.3 Czarny,,5.0,2,0,Słuchawki (nauszne),OleOle!,2024-09-30
Słuchawki bezprzewodowe JBL Tune 520 BT Nauszne Bluetooth 5.3 Czarny,149.05,4.9,19,1,Słuchawki (nauszne),OleOle!,2024-09-30
Słuchawki bezprzewodowe Technics EAH-A800E-K Nauszne Bluetooth 5.2 Czarny,,,0,0,Słuchawki (nauszne),OleOle!,2024-09-30
Słuchawki bezprzewodowe Soundcore Liberty 4 NC Dokanałowe Bluetooth 5.3 Czarny,299.00,5.0,2,1,Słuchawki (dokanałowe),OleOle!,2024-09-30
Słuchawki bezprzewodowe Sony WH-CH720N ANC Nauszne Bluetooth 5.2 Czarny,399.00,5.0,6,1,Słuchawki (nauszne),OleOle!,2024-09-30
"Tablet Samsung Galaxy Tab A9 SM-X110 8.7"" 8/128GB Wi-Fi Szary",799.00,,0,1,Tablet,OleOle!,2024-09-30
"Tablet Huawei MatePad 11.5"" S 8/256GB Wi-Fi Space Gray + Klawiatura Czarny + Rysik M-Pencil (3 gen.)",1999.00,,0,1,Tablet,OleOle!,2024-09-30
"Tablet Apple iPad 2021 10.2"" 64GB Wi-Fi Gwiezdna Szarość",1649.00,5.0,12,1,Tablet,OleOle!,2024-09-30
"Tablet Lenovo Tab P11 (2nd Gen) TB350FU 11.5"" 6/128GB Wi-Fi Storm Grey + Rysik Precision Pen 2",999.00,5.0,6,1,Tablet,OleOle!,2024-09-30
"Tablet Lenovo Yoga Tab 13 YT-K606F 13"" 8/128GB Wi-Fi",1499.00,5.0,4,1,Tablet,OleOle!,2024-09-30
"Tablet Xiaomi Redmi Pad Pro 12.1"" 8/256GB Wi-Fi Graphite gray",1369.00,,0,1,Tablet,OleOle!,2024-09-30
"Monitor LG UltraFine Display Ergo 27UN880P-B- 27"" 4K IPS 60Hz 5ms",,,0,0,Monitor,OleOle!,2024-09-30
"Monitor iiyama G-Master Red Eagle GB2470HSU-B5 24"" Full HD IPS 165Hz 0.8ms Gamingowy",739.00,4.0,1,1,Monitor,OleOle!,2024-09-30
"Monitor iiyama G-Master Red Eagle GB2770QSU-B5 27"" 2K IPS 165Hz 0.5ms Gamingowy",1299.00,,0,1,Monitor,OleOle!,2024-09-30
"Monitor Samsung Odyssey G3 S27AG300NR 27"" Full HD VA 144Hz 1ms",819.00,,0,1,Monitor,OleOle!,2024-09-30
"Monitor ASUS VY279HGE 27"" Full HD IPS 144Hz 1ms Gamingowy",719.00,,0,1,Monitor,OleOle!,2024-09-30
"Monitor Xiaomi A27i (P27FBA-RAGL) 27"" Full HD IPS 100Hz 6ms",438.00,,0,1,Monitor,OleOle!,2024-09-30
Słuchawki bezprzewodowe Samsung Galaxy Buds 3 SM-R530NZA Douszne Bluetooth Srebrny,599.00,,0,1,Słuchawki (douszne),OleOle!,2024-10-01
