Nazwa urzadzenia,Cena (zł),Ocena,Liczba ocen,Czy dostepny,Typ urzadzenia,Sklep,Data
"Monitor SAMSUNG Odyssey LS27AG300NR 27"" 1920x1080px 144Hz 1 ms [MPRT]",819,4.9,8,1,Monitor,Media Expert,2024-09-23
"Monitor ASUS VY279HGE 27"" 1920x1080px IPS 144Hz 1 ms [MPRT]",719,,,1,Monitor,Media Expert,2024-09-23
"Monitor XIAOMI A27i 27"" 1920x1080px IPS 100Hz",438,4.8,2,1,Monitor,Media Expert,2024-09-23
Słuchawki douszne SAMSUNG Buds 3 ANC Wodoodporne Srebrny,799,4.2,14,1,Słuchawki (douszne),Media Expert,2024-09-24
Słuchawki douszne APPLE AirPods III Biały (Etui z Lightning),729,4.7,35,1,Słuchawki (douszne),Media Expert,2024-09-24
Słuchawki dokanałowe APPLE AirPods Pro II Biały (Etui z USB-C),1099,4.9,151,1,Słuchawki (dokanałowe),Media Expert,2024-09-24
Słuchawki douszne APPLE AirPods II Biały,519,4.9,684,1,Słuchawki (douszne),Media Expert,2024-09-24
Słuchawki nauszne JBL Tune 770NC Czarny,279,4.7,56,1,Słuchawki (nauszne),Media Expert,2024-09-24
Słuchawki nauszne JBL Tune 520BT Czarny,159,4.7,134,1,Słuchawki (nauszne),Media Expert,2024-09-24
Słuchawki nauszne TECHNICS EAH-A800 Czarny,869,4.5,23,1,Słuchawki (nauszne),Media Expert,2024-09-24
Słuchawki dokanałowe SOUNDCORE Liberty 4 NC Czarny,399,4.9,6,1,Słuchawki (dokanałowe),Media Expert,2024-09-24
Słuchawki nauszne SONY WHCH720NB Czarny,389,4.8,49,1,Słuchawki (nauszne),Media Expert,2024-09-24
"Tablet SAMSUNG Galaxy Tab A9 8.7"" 8/128 GB Wi-Fi Szary",799,4.5,5,1,Tablet,Media Expert,2024-09-24
"Tablet HUAWEI MatePad 11.5""S 8/256 GB Wi-Fi Szary + Rysik + Klawiatura",1999,4.9,23,1,Tablet,Media Expert,2024-09-24
"Tablet APPLE iPad 10.2"" 9 gen. 64GB Wi-Fi Gwiezdna szarość",1649,4.9,120,1,Tablet,Media Expert,2024-09-24
"Tablet LENOVO Tab P11 2 gen. TB350FU 11.5"" 6/128 GB Wi-Fi Szary + Rysik",999,4.6,22,1,Tablet,Media Expert,2024-09-24
"Tablet LENOVO Yoga Tab 13 YT-K606F 13"" 8/128 GB Wi-Fi Czarny",1499,5,2,1,Tablet,Media Expert,2024-09-24
"Tablet XIAOMI Redmi Pad Pro 12.1"" 8/256 GB Wi-Fi Szary",1364,5,2,1,Tablet,Media Expert,2024-09-24
"Monitor LG UltraFine 27UN880P-B 27"" 3840x2160px IPS",1773,5,1,1,Monitor,Media Expert,2024-09-24
"Monitor IIYAMA G-Master GB2470HSU-B5 23.8"" 1920x1080px IPS 165Hz 0.8 ms [MPRT]",739,4.8,13,1,Monitor,Media Expert,2024-09-24
"Monitor IIYAMA G-Master GB2770QSU-B5 27"" 2560x1440px IPS 165Hz 0.5 ms [MPRT]",869,4.7,4,1,Monitor,Media Expert,2024-09-24
"Monitor SAMSUNG Odyssey LS27AG300NR 27"" 1920x1080px 144Hz 1 ms [MPRT]",789,4.9,8,1,Monitor,Media Expert,2024-09-24
"Monitor ASUS VY279HGE 27"" 1920x1080px IPS 144Hz 1 ms [MPRT]",719,,,1,Monitor,Media Expert,2024-09-24
"Monitor XIAOMI A27i 27"" 1920x1080px IPS 100Hz",438,4.8,2,1,Monitor,Media Expert,2024-09-24
Słuchawki douszne SAMSUNG Buds 3 ANC Wodoodporne Srebrny,799,4.2,14,1,Słuchawki (douszne),Media Expert,2024-09-25
Słuchawki douszne APPLE AirPods III Biały (Etui z Lightning),729,4.7,35,1,Słuchawki (douszne),Media Expert,2024-09-25
Słuchawki dokanałowe APPLE AirPods Pro II Biały (Etui z USB-C),1099,4.9,152,1,Słuchawki (dokanałowe),Media Expert,2024-09-25
Słuchawki douszne APPLE AirPods II Biały,519,4.9,684,1,Słuchawki (douszne),Media Expert,2024-09-25
Słuchawki nauszne JBL Tune 770NC Czarny,279,4.7,56,1,Słuchawki (nauszne),Media Expert,2024-09-25
Słuchawki nauszne JBL Tune 520BT Czarny,159,4.7,134,1,Słuchawki (nauszne),Media Expert,2024-09-25
Słuchawki nauszne TECHNICS EAH-A800 Czarny,869,4.5,23,1,Słuchawki (nauszne),Media Expert,2024-09-25
Słuchawki dokanałowe SOUNDCORE Liberty 4 NC Czarny,399,4.9,6,1,Słuchawki (dokanałowe),Media Expert,2024-09-25
Słuchawki nauszne SONY WHCH720NB Czarny,419,4.8,49,1,Słuchawki (nauszne),Media Expert,2024-09-25
"Tablet SAMSUNG Galaxy Tab A9 8.7"" 8/128 GB Wi-Fi Szary",799,4.5,5,1,Tablet,Media Expert,2024-09-25
"Tablet HUAWEI MatePad 11.5""S 8/256 GB Wi-Fi Szary + Rysik + Klawiatura",1999,4.9,23,1,Tablet,Media Expert,2024-09-25
"Tablet APPLE iPad 10.2"" 9 gen. 64GB Wi-Fi Gwiezdna szarość",1649,4.9,120,1,Tablet,Media Expert,2024-09-25
"Tablet LENOVO Tab P11 2 gen. TB350FU 11.5"" 6/128 GB Wi-Fi Szary + Rysik",999,4.6,22,1,Tablet,Media Expert,2024-09-25
"Tablet LENOVO Yoga Tab 13 YT-K606F 13"" 8/128 GB Wi-Fi Czarny",1499,5,2,1,Tablet,Media Expert,2024-09-25
"Tablet XIAOMI Redmi Pad Pro 12.1"" 8/256 GB Wi-Fi Szary",1364,5,2,1,Tablet,Media Expert,2024-09-25
"Monitor LG UltraFine 27UN880P-B 27"" 3840x2160px IPS",1773,5,1,1,Monitor,Media Expert,2024-09-25
"Monitor IIYAMA G-Master GB2470HSU-B5 23.8"" 1920x1080px IPS 165Hz 0.8 ms [MPRT]",739,4.8,13,1,Monitor,Media Expert,2024-09-25
"Monitor IIYAMA G-Master GB2770QSU-B5 27"" 2560x1440px IPS 165Hz 0.5 ms [MPRT]",1272,4.7,4,1,Monitor,Media Expert,2024-09-25
"Monitor SAMSUNG Odyssey LS27AG300NR 27"" 1920x1080px 144Hz 1 ms [MPRT]",789,4.9,8,1,Monitor,Media Expert,2024-09-25
"Monitor ASUS VY279HGE 27"" 1920x1080px IPS 144Hz 1 ms [MPRT]",719,,,1,Monitor,Media Expert,2024-09-25
"Monitor XIAOMI A27i 27"" 1920x1080px IPS 100Hz",438,4.8,2,1,Monitor,Media Expert,2024-09-25
Słuchawki douszne SAMSUNG Buds 3 ANC Wodoodporne Srebrny,749,4.2,14,1,Słuchawki (douszne),Media Expert,2024-09-26
Słuchawki douszne APPLE AirPods III Biały (Etui z Lightning),729,4.7,35,1,Słuchawki (douszne),Media Expert,2024-09-26
Słuchawki dokanałowe APPLE AirPods Pro II Biały (Etui z USB-C),1099,4.9,152,1,Słuchawki (dokanałowe),Media Expert,2024-09-26
Słuchawki douszne APPLE AirPods II Biały,519,4.9,684,1,Słuchawki (douszne),Media Expert,2024-09-26
Słuchawki nauszne JBL Tune 770NC Czarny,279,4.7,58,1,Słuchawki (nauszne),Media Expert,2024-09-26
Słuchawki nauszne JBL Tune 520BT Czarny,159,4.7,134,1,Słuchawki (nauszne),Media Expert,2024-09-26
Słuchawki nauszne TECHNICS EAH-A800 Czarny,869,4.5,23,1,Słuchawki (nauszne),Media Expert,2024-09-26
Słuchawki dokanałowe SOUNDCORE Liberty 4 NC Czarny,399,4.9,6,1,Słuchawki (dokanałowe),Media Expert,2024-09-26
Słuchawki nauszne SONY WHCH720NB Czarny,419,4.8,49,1,Słuchawki (nauszne),Media Expert,2024-09-26
"Tablet SAMSUNG Galaxy Tab A9 8.7"" 8/128 GB Wi-Fi Szary",799,4.5,5,1,Tablet,Media Expert,2024-09-26
"Tablet HUAWEI MatePad 11.5""S 8/256 GB Wi-Fi Szary + Rysik + Klawiatura",1999,4.9,23,1,Tablet,Media Expert,2024-09-26
"Tablet APPLE iPad 10.2"" 9 gen. 64GB Wi-Fi Gwiezdna szarość",1649,4.9,120,1,Tablet,Media Expert,2024-09-26
"Tablet LENOVO Tab P11 2 gen. TB350FU 11.5"" 6/128 GB Wi-Fi Szary + Rysik",999,4.6,22,1,Tablet,Media Expert,2024-09-26
"Tablet LENOVO Yoga Tab 13 YT-K606F 13"" 8/128 GB Wi-Fi Czarny",1499,5,2,1,Tablet,Media Expert,2024-09-26
"Tablet XIAOMI Redmi Pad Pro 12.1"" 8/256 GB Wi-Fi Szary",1364,5,2,1,Tablet,Media Expert,2024-09-26
"Monitor LG UltraFine 27UN880P-B 27"" 3840x2160px IPS",1694,5,1,1,Monitor,Media Expert,2024-09-26
"Monitor IIYAMA G-Master GB2470HSU-B5 23.8"" 1920x1080px IPS 165Hz 0.8 ms [MPRT]",739,4.8,13,1,Monitor,Media Expert,2024-09-26
"Monitor IIYAMA G-Master GB2770QSU-B5 27"" 2560x1440px IPS 165Hz 0.5 ms [MPRT]",1272,4.7,4,1,Monitor,Media Expert,2024-09-26
"Monitor SAMSUNG Odyssey LS27AG300NR 27"" 1920x1080px 144Hz 1 ms [MPRT]",789,4.9,8,1,Monitor,Media Expert,2024-09-26
"Monitor ASUS VY279HGE 27"" 1920x1080px IPS 144Hz 1 ms [MPRT]",719,,,1,Monitor,Media Expert,2024-09-26
"Monitor XIAOMI A27i 27"" 1920x1080px IPS 100Hz",438,4.8,2,1,Monitor,Media Expert,2024-09-26
Słuchawki douszne SAMSUNG Buds 3 ANC Wodoodporne Srebrny,749,4.2,14,1,Słuchawki (douszne),Media Expert,2024-09-27
Słuchawki douszne APPLE AirPods III Biały (Etui z Lightning),699,4.7,35,1,Słuchawki (douszne),Media Expert,2024-09-27
Słuchawki dokanałowe APPLE AirPods Pro II Biały (Etui z USB-C),1099,4.9,154,1,Słuchawki (dokanałowe),Media Expert,2024-09-27
Słuchawki douszne APPLE AirPods II Biały,519,4.9,684,1,Słuchawki (douszne),Media Expert,2024-09-27
Słuchawki nauszne JBL Tune 770NC Czarny,279,4.7,59,1,Słuchawki (nauszne),Media Expert,2024-09-27
Słuchawki nauszne JBL Tune 520BT Czarny,159,4.7,134,1,Słuchawki (nauszne),Media Expert,2024-09-27
Słuchawki nauszne TECHNICS EAH-A800 Czarny,869,4.5,23,1,Słuchawki (nauszne),Media Expert,2024-09-27
Słuchawki dokanałowe SOUNDCORE Liberty 4 NC Czarny,399,4.9,6,1,Słuchawki (dokanałowe),Media Expert,2024-09-27
Słuchawki nauszne SONY WHCH720NB Czarny,419,4.8,49,1,Słuchawki (nauszne),Media Expert,2024-09-27
"Tablet SAMSUNG Galaxy Tab A9 8.7"" 8/128 GB Wi-Fi Szary",799,4.5,5,1,Tablet,Media Expert,2024-09-27
"Tablet HUAWEI MatePad 11.5""S 8/256 GB Wi-Fi Szary + Rysik + Klawiatura",1999,4.9,23,1,Tablet,Media Expert,2024-09-27
"Tablet APPLE iPad 10.2"" 9 gen. 64GB Wi-Fi Gwiezdna szarość",1649,4.9,120,1,Tablet,Media Expert,2024-09-27
"Tablet LENOVO Tab P11 2 gen. TB350FU 11.5"" 6/128 GB Wi-Fi Szary + Rysik",999,4.6,22,1,Tablet,Media Expert,2024-09-27
"Tablet LENOVO Yoga Tab 13 YT-K606F 13"" 8/128 GB Wi-Fi Czarny",1499,5,2,1,Tablet,Media Expert,2024-09-27
"Tablet XIAOMI Redmi Pad Pro 12.1"" 8/256 GB Wi-Fi Szary",1364,5,2,1,Tablet,Media Expert,2024-09-27
"Monitor LG UltraFine 27UN880P-B 27"" 3840x2160px IPS",1694,5,1,1,Monitor,Media Expert,2024-09-27
"Monitor IIYAMA G-Master GB2470HSU-B5 23.8"" 1920x1080px IPS 165Hz 0.8 ms [MPRT]",739,4.8,13,1,Monitor,Media Expert,2024-09-27
"Monitor IIYAMA G-Master GB2770QSU-B5 27"" 2560x1440px IPS 165Hz 0.5 ms [MPRT]",1199,4.7,4,1,Monitor,Media Expert,2024-09-27
"Monitor SAMSUNG Odyssey LS27AG300NR 27"" 1920x1080px 144Hz 1 ms [MPRT]",789,4.9,8,1,Monitor,Media Expert,2024-09-27
"Monitor ASUS VY279HGE 27"" 1920x1080px IPS 144Hz 1 ms [MPRT]",719,,,1,Monitor,Media Expert,2024-09-27
"Monitor XIAOMI A27i 27"" 1920x1080px IPS 100Hz",438,4.8,2,1,Monitor,Media Expert,2024-09-27
Słuchawki douszne SAMSUNG Buds 3 ANC Wodoodporne Srebrny,749,4.2,14,1,Słuchawki (douszne),Media Expert,2024-09-28
Słuchawki douszne APPLE AirPods III Biały (Etui z Lightning),699,4.7,35,1,Słuchawki (douszne),Media Expert,2024-09-28
Słuchawki dokanałowe APPLE AirPods Pro II Biały (Etui z USB-C),1099,4.9,154,1,Słuchawki (dokanałowe),Media Expert,2024-09-28
Słuchawki douszne APPLE AirPods II Biały,499,4.9,685,1,Słuchawki (douszne),Media Expert,2024-09-28
Słuchawki nauszne JBL Tune 770NC Czarny,279,4.7,59,1,Słuchawki (nauszne),Media Expert,2024-09-28
Słuchawki nauszne JBL Tune 520BT Czarny,159,4.7,134,1,Słuchawki (nauszne),Media Expert,2024-09-28
Słuchawki nauszne TECHNICS EAH-A800 Czarny,869,4.5,23,1,Słuchawki (nauszne),Media Expert,2024-09-28
Słuchawki dokanałowe SOUNDCORE Liberty 4 NC Czarny,399,4.9,6,1,Słuchawki (dokanałowe),Media Expert,2024-09-28
Słuchawki nauszne SONY WHCH720NB Czarny,419,4.8,49,1,Słuchawki (nauszne),Media Expert,2024-09-28
"Tablet SAMSUNG Galaxy Tab A9 8.7"" 8/128 GB Wi-Fi Szary",799,4.5,5,1,Tablet,Media Expert,2024-09-28
"Tablet HUAWEI MatePad 11.5""S 8/256 GB Wi-Fi Szary + Rysik + Klawiatura",1999,4.9,23,1,Tablet,Media Expert,2024-09-28
"Tablet APPLE iPad 10.2"" 9 gen. 64GB Wi-Fi Gwiezdna szarość",1649,4.9,120,1,Tablet,Media Expert,2024-09-28
"Tablet LENOVO Tab P11 2 gen. TB350FU 11.5"" 6/128 GB Wi-Fi Szary + Rysik",999,4.6,22,1,Tablet,Media Expert,2024-09-28
"Tablet LENOVO Yoga Tab 13 YT-K606F 13"" 8/128 GB Wi-Fi Czarny",1499,5,2,1,Tablet,Media Expert,2024-09-28
"Tablet XIAOMI Redmi Pad Pro 12.1"" 8/256 GB Wi-Fi Szary",1399,5,2,1,Tablet,Media Expert,2024-09-28
"Monitor LG UltraFine 27UN880P-B 27"" 3840x2160px IPS",1599,5,1,1,Monitor,Media Expert,2024-09-28
"Monitor IIYAMA G-Master GB2470HSU-B5 23.8"" 1920x1080px IPS 165Hz 0.8 ms [MPRT]",739,4.8,13,1,Monitor,Media Expert,2024-09-28
"Monitor IIYAMA G-Master GB2770QSU-B5 27"" 2560x1440px IPS 165Hz 0.5 ms [MPRT]",1272,4.7,4,1,Monitor,Media Expert,2024-09-28
"Monitor SAMSUNG Odyssey LS27AG300NR 27"" 1920x1080px 144Hz 1 ms [MPRT]",789,4.9,8,1,Monitor,Media Expert,2024-09-28
"Monitor ASUS VY279HGE 27"" 1920x1080px IPS 144Hz 1 ms [MPRT]",719,,,1,Monitor,Media Expert,2024-09-28
"Monitor XIAOMI A27i 27"" 1920x1080px IPS 100Hz",438,4.8,2,1,Monitor,Media Expert,2024-09-28
Słuchawki douszne SAMSUNG Buds 3 ANC Wodoodporne Srebrny,749,4.2,14,1,Słuchawki (douszne),Media Expert,2024-09-29
Słuchawki douszne APPLE AirPods III Biały (Etui z Lightning),699,4.7,35,1,Słuchawki (douszne),Media Expert,2024-09-29
Słuchawki dokanałowe APPLE AirPods Pro II Biały (Etui z USB-C),1099,4.9,154,1,Słuchawki (dokanałowe),Media Expert,2024-09-29
Słuchawki douszne APPLE AirPods II Biały,499,4.9,685,1,Słuchawki (douszne),Media Expert,2024-09-29
Słuchawki nauszne JBL Tune 770NC Czarny,279,4.7,59,1,Słuchawki (nauszne),Media Expert,2024-09-29
Słuchawki nauszne JBL Tune 520BT Czarny,159,4.7,134,1,Słuchawki (nauszne),Media Expert,2024-09-29
Słuchawki nauszne TECHNICS EAH-A800 Czarny,869,4.5,23,1,Słuchawki (nauszne),Media Expert,2024-09-29
Słuchawki dokanałowe SOUNDCORE Liberty 4 NC Czarny,399,4.9,6,1,Słuchawki (dokanałowe),Media Expert,2024-09-29
Słuchawki nauszne SONY WHCH720NB Czarny,399,4.8,49,1,Słuchawki (nauszne),Media Expert,2024-09-29
"Tablet SAMSUNG Galaxy Tab A9 8.7"" 8/128 GB Wi-Fi Szary",799,4.5,5,1,Tablet,Media Expert,2024-09-29
"Tablet HUAWEI MatePad 11.5""S 8/256 GB Wi-Fi Szary + Rysik + Klawiatura",1999,4.9,23,1,Tablet,Media Expert,2024-09-29
"Tablet APPLE iPad 10.2"" 9 gen. 64GB Wi-Fi Gwiezdna szarość",1649,4.9,120,1,Tablet,Media Expert,2024-09-29
"Tablet LENOVO Tab P11 2 gen. TB350FU 11.5"" 6/128 GB Wi-Fi Szary + Rysik",999,4.6,22,1,Tablet,Media Expert,2024-09-29
"Tablet LENOVO Yoga Tab 13 YT-K606F 13"" 8/128 GB Wi-Fi Czarny",1499,5,2,1,Tablet,Media Expert,2024-09-29
"Tablet XIAOMI Redmi Pad Pro 12.1"" 8/256 GB Wi-Fi Szary",1399,5,2,1,Tablet,Media Expert,2024-09-29
"Monitor LG UltraFine 27UN880P-B 27"" 3840x2160px IPS",1599,5,1,1,Monitor,Media Expert,2024-09-29
"Monitor IIYAMA G-Master GB2470HSU-B5 23.8"" 1920x1080px IPS 165Hz 0.8 ms [MPRT]",739,4.8,13,1,Monitor,Media Expert,2024-09-29
"Monitor IIYAMA G-Master GB2770QSU-B5 27"" 2560x1440px IPS 165Hz 0.5 ms [MPRT]",1272,4.7,4,1,Monitor,Media Expert,2024-09-29
"Monitor SAMSUNG Odyssey LS27AG300NR 27"" 1920x1080px 144Hz 1 ms [MPRT]",789,4.9,8,1,Monitor,Media Expert,2024-09-29
"Monitor ASUS VY279HGE 27"" 1920x1080px IPS 144Hz 1 ms [MPRT]",719,,,1,Monitor,Media Expert,2024-09-29
"Monitor XIAOMI A27i 27"" 1920x1080px IPS 100Hz",438,4.8,2,1,Monitor,Media Expert,2024-09-29
Słuchawki douszne SAMSUNG Buds 3 ANC Wodoodporne Srebrny,599,4.2,14,1,Słuchawki (douszne),Media Expert,2024-09-30
Słuchawki douszne APPLE AirPods III Biały (Etui z Lightning),699,4.7,35,1,Słuchawki (douszne),Media Expert,2024-09-30
Słuchawki dokanałowe APPLE AirPods Pro II Biały (Etui z USB-C),1099,4.9,154,1,Słuchawki (dokanałowe),Media Expert,2024-09-30
Słuchawki douszne APPLE AirPods II Biały,519,4.9,685,1,Słuchawki (douszne),Media Expert,2024-09-30
Słuchawki nauszne JBL Tune 770NC Czarny,279,4.7,59,1,Słuchawki (nauszne),Media Expert,2024-09-30
Słuchawki nauszne JBL Tune 520BT Czarny,159,4.7,135,1,Słuchawki (nauszne),Media Expert,2024-09-30
Słuchawki nauszne TECHNICS EAH-A800 Czarny,869,4.5,23,1,Słuchawki (nauszne),Media Expert,2024-09-30
Słuchawki dokanałowe SOUNDCORE Liberty 4 NC Czarny,399,4.9,6,1,Słuchawki (dokanałowe),Media Expert,2024-09-30
Słuchawki nauszne SONY WHCH720NB Czarny,419,4.8,49,1,Słuchawki (nauszne),Media Expert,2024-09-30
"Tablet SAMSUNG Galaxy Tab A9 8.7"" 8/128 GB Wi-Fi Szary",999,4.5,5,1,Tablet,Media Expert,2024-09-30
"Tablet HUAWEI MatePad 11.5""S 8/256 GB Wi-Fi Szary + Rysik + Klawiatura",1999,4.9,23,1,Tablet,Media Expert,2024-09-30
"Tablet APPLE iPad 10.2"" 9 gen. 64GB Wi-Fi Gwiezdna szarość",1649,4.9,120,1,Tablet,Media Expert,2024-09-30
"Tablet LENOVO Tab P11 2 gen. TB350FU 11.5"" 6/128 GB Wi-Fi Szary + Rysik",999,4.5,23,1,Tablet,Media Expert,2024-09-30
"Tablet LENOVO Yoga Tab 13 YT-K606F 13"" 8/128 GB Wi-Fi Czarny",1499,5,2,1,Tablet,Media Expert,2024-09-30
"Tablet XIAOMI Redmi Pad Pro 12.1"" 8/256 GB Wi-Fi Szary",1399,5,2,1,Tablet,Media Expert,2024-09-30
"Monitor LG UltraFine 27UN880P-B 27"" 3840x2160px IPS",1999,5,1,1,Monitor,Media Expert,2024-09-30
"Monitor IIYAMA G-Master GB2470HSU-B5 23.8"" 1920x1080px IPS 165Hz 0.8 ms [MPRT]",739,4.8,13,1,Monitor,Media Expert,2024-09-30
"Monitor IIYAMA G-Master GB2770QSU-B5 27"" 2560x1440px IPS 165Hz 0.5 ms [MPRT]",1272,4.7,4,1,Monitor,Media Expert,2024-09-30
"Monitor SAMSUNG Odyssey LS27AG300NR 27"" 1920x1080px 144Hz 1 ms [MPRT]",599,4.9,8,1,Monitor,Media Expert,2024-09-30
"Monitor ASUS VY279HGE 27"" 1920x1080px IPS 144Hz 1 ms [MPRT]",861,,,1,Monitor,Media Expert,2024-09-30
"Monitor XIAOMI A27i 27"" 1920x1080px IPS 100Hz",438,4.8,2,1,Monitor,Media Expert,2024-09-30
Słuchawki douszne SAMSUNG Buds 3 ANC Wodoodporne Srebrny,599,4.2,14,1,Słuchawki (douszne),Media Expert,2024-10-01
Słuchawki douszne APPLE AirPods III Biały (Etui z Lightning),699,4.7,35,1,Słuchawki (douszne),Media Expert,2024-10-01
Słuchawki dokanałowe APPLE AirPods Pro II Biały (Etui z USB-C),1099,4.9,154,1,Słuchawki (dokanałowe),Media Expert,2024-10-01
Słuchawki douszne APPLE AirPods II Biały,519,4.9,685,1,Słuchawki (douszne),Media Expert,2024-10-01
Słuchawki nauszne JBL Tune 770NC Czarny,279,4.7,60,1,Słuchawki (nauszne),Media Expert,2024-10-01
Słuchawki nauszne JBL Tune 520BT Czarny,159,4.7,136,1,Słuchawki (nauszne),Media Expert,2024-10-01
Słuchawki nauszne TECHNICS EAH-A800 Czarny,869,4.5,23,1,Słuchawki (nauszne),Media Expert,2024-10-01
Słuchawki dokanałowe SOUNDCORE Liberty 4 NC Czarny,399,4.9,6,1,Słuchawki (dokanałowe),Media Expert,2024-10-01
Słuchawki nauszne SONY WHCH720NB Czarny,419,4.8,49,1,Słuchawki (nauszne),Media Expert,2024-10-01
"Tablet SAMSUNG Galaxy Tab A9 8.7"" 8/128 GB Wi-Fi Szary",999,4.5,5,1,Tablet,Media Expert,2024-10-01
"Tablet HUAWEI MatePad 11.5""S 8/256 GB Wi-Fi Szary + Rysik + Klawiatura",1999,4.9,23,1,Tablet,Media Expert,2024-10-01
"Tablet APPLE iPad 10.2"" 9 gen. 64GB Wi-Fi Gwiezdna szarość",1649,4.9,120,1,Tablet,Media Expert,2024-10-01
"Tablet LENOVO Tab P11 2 gen. TB350FU 11.5"" 6/128 GB Wi-Fi Szary + Rysik",999,4.5,23,1,Tablet,Media Expert,2024-10-01
"Tablet LENOVO Yoga Tab 13 YT-K606F 13"" 8/128 GB Wi-Fi Czarny",1499,5,2,1,Tablet,Media Expert,2024-10-01
"Tablet XIAOMI Redmi Pad Pro 12.1"" 8/256 GB Wi-Fi Szary",1399,5,2,1,Tablet,Media Expert,2024-10-01
"Monitor LG UltraFine 27UN880P-B 27"" 3840x2160px IPS",1602,5,1,1,Monitor,Media Expert,2024-10-01
"Monitor IIYAMA G-Master GB2470HSU-B5 23.8"" 1920x1080px IPS 165Hz 0.8 ms [MPRT]",739,4.8,13,1,Monitor,Media Expert,2024-10-01
"Monitor IIYAMA G-Master GB2770QSU-B5 27"" 2560x1440px IPS 165Hz 0.5 ms [MPRT]",1272,4.7,4,1,Monitor,Media Expert,2024-10-01
"Monitor SAMSUNG Odyssey LS27AG300NR 27"" 1920x1080px 144Hz 1 ms [MPRT]",599,4.9,8,1,Monitor,Media Expert,2024-10-01
"Monitor ASUS VY279HGE 27"" 1920x1080px IPS 144Hz 1 ms [MPRT]",749,,,1,Monitor,Media Expert,2024-10-01
"Monitor XIAOMI A27i 27"" 1920x1080px IPS 100Hz",438,4.8,2,1,Monitor,Media Expert,2024-10-01
Słuchawki douszne SAMSUNG Buds 3 ANC Wodoodporne Srebrny,599,4.2,14,1,Słuchawki (douszne),Media Expert,2024-10-02
Słuchawki douszne APPLE AirPods III Biały (Etui z Lightning),699,4.7,36,1,Słuchawki (douszne),Media Expert,2024-10-02
Słuchawki dokanałowe APPLE AirPods Pro II Biały (Etui z USB-C),1099,4.9,155,1,Słuchawki (dokanałowe),Media Expert,2024-10-02
Słuchawki douszne APPLE AirPods II Biały,499,4.9,685,1,Słuchawki (douszne),Media Expert,2024-10-02
Słuchawki nauszne JBL Tune 770NC Czarny,279,4.7,61,1,Słuchawki (nauszne),Media Expert,2024-10-02
Słuchawki nauszne JBL Tune 520BT Czarny,159,4.7,138,1,Słuchawki (nauszne),Media Expert,2024-10-02
Słuchawki nauszne TECHNICS EAH-A800 Czarny,869,4.5,23,1,Słuchawki (nauszne),Media Expert,2024-10-02
